Jahr;Name;Vorname;Beruf;Ort;Bezirk;Fraktion;GR_Eintritt;Geb_Jahr;Partei;Geschlecht
2009;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;1950;SP;weiblich
2010;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;1950;SP;weiblich
2011;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;1950;SP;weiblich
2012;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;1950;SP;weiblich
2013;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2014;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2015;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2016;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2017;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2018;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2019;Abegglen;Inge;Laborantin;Arbon;Arbon;SP;2008;;SP;weiblich
2008;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann;Frauenfeld;Frauenfeld;EVP/EDU;2006;;EVP;männlich
2009;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann;Frauenfeld;Frauenfeld;EVP/EDU;2006;1956;EVP;männlich
2010;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann;Frauenfeld;Frauenfeld;EVP/EDU;2006;1956;EVP;männlich
2011;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann;Frauenfeld;Frauenfeld;EVP/EDU;2006;1956;EVP;männlich
2012;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann;Frauenfeld;Frauenfeld;EVP/EDU;2006;1956;EVP;männlich
2013;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann,Kirchenpfleger;Frauenfeld;Frauenfeld;EDU/EVP;2006;;EVP;männlich
2014;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann,Kirchenpfleger;Frauenfeld;Frauenfeld;EDU/EVP;2006;;EVP;männlich
2015;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann,Kirchenpfleger;Frauenfeld;Frauenfeld;EDU/EVP;2006;;EVP;männlich
2016;Ackerknecht;Wolfgang;eidg. dipl. Bankfachmann,Kirchenpfleger;Frauenfeld;Frauenfeld;EDU/EVP;2006;;EVP;männlich
2017;Ackerknecht;Wolfgang;Kirchenpfleger;Frauenfeld;Frauenfeld;CVP/EVP;2006;;EVP;männlich
2018;Ackerknecht;Wolfgang;Kirchenpfleger;Frauenfeld;Frauenfeld;CVP/EVP;2006;;EVP;männlich
2019;Ackerknecht;Wolfgang;Kirchenpfleger;Frauenfeld;Frauenfeld;CVP/EVP;2006;;EVP;männlich
2008;Aepli Stettler;Elsbeth;Rechtsanwältin, Stadträtin;Frauenfeld;Frauenfeld;CVP;1996;;CVP;weiblich
2009;Aepli Stettler;Elsbeth;Rechtsanwältin, Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;1996;1964;CVP;weiblich
2010;Aepli Stettler;Elsbeth;Rechtsanwältin, Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;1996;1964;CVP;weiblich
2011;Aepli Stettler;Elsbeth;Rechtsanwältin, Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;1996;1964;CVP;weiblich
2012;Aepli Stettler;Elsbeth;Rechtsanwältin, Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;1996;1964;CVP;weiblich
2013;Aepli Stettler;Elsbeth;lic. iur., Rechtsanwältin,Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;2000;;CVP;weiblich
2014;Aepli Stettler;Elsbeth;lic. iur., Rechtsanwältin,Stadträtin;Frauenfeld;Frauenfeld;CVP/glp;2000;;CVP;weiblich
