DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
03.03.2010;0205/2008-2012/GR;205;Umsetzungstermin des Auszahlungsmodus der Prämienverbilligung;Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Roland Kuttruff;CVP;3;Kurt Baumann;SVP;1;Silvia Schwyter;GP;5;Martin Klöti;FDP;2;Turi Schallenberg;SP;4;Daniel Wittwer;EDU;8;;;;;;;;;;;;;30.03.2010;05.05.2010;erheblich;1;;;
27.10.2010;0293/2008-2012/GR;293;Änderung von § 9 des Gesetzes über das Stimm- und Wahlrecht;Motion;2;16.2 Abstimmungen;;;Staatspolitik;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.08.2011;26.10.2011;erheblich;1;;;
27.10.2010;0294/2008-2012/GR;294;Abbau der Thurgauer Warteliste in der kostendeckenden Einspeisevergütung (KEV);Motion;2;73.3 Andere Energien: Gas, Fernwärme, Solarenergie etc.;;;Energie;;;Bernhard Wälti;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.09.2011;25.01.2012;nicht erheblich;2;;;
16.02.2011;0312/2008-2012/GR;312;Einführung Familienabzug im Steuergesetz;Motion;2;64.1 Staats- und Gemeindesteuern, allgemeine Organisation;;;Steuern;Finanzwesen;;Alex Frei;CVP;3;Hanspeter Gantenbein;SVP;1;Thomas Merz;CVP;3;Regula Streckeisen;EVP;7;Sara Wüger;GP;5;Andrea Vonlanthen;SVP;1;;;;;;;;;;;;;20.09.2011;09.11.2011;erheblich;1;;;
16.03.2011;0321/2008-2012/GR;321;Ergänzungsleistungen für einkommensschwache Familien;Motion;2;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Edith Wohlfender;SP;4;Bernhard Wälti;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;06.03.2012;28.03.2012;nicht erheblich;2;;;
30.03.2011;0329/2008-2012/GR;329;Umweltfreundlicher Strom als Basisangebot;Motion;2;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Toni Kappeler;GP;5;Josef Gemperle;CVP;3;Bernhard Wälti;SP;4;Thomas Böhni;glp;6;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;Rückzug;4;;;
30.03.2011;0330/2008-2012/GR;330;Standesinitiative gegen EU-Agrarfreihandel im Rahmen der Bilateralen III;Motion;2;91.0 Agrarpolitische Massnahmen, bäuerliches Bodenrecht;;;Landwirtschaft;;;Urs Martin;SVP;1;Moritz Tanner;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;20.03.2012;09.05.2012;Rückzug;4;;;
30.03.2011;0331/2008-2012/GR;331;Konzept für einen Thurgauer Strommix ohne Atom;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Thomas Böhni;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;erheblich;1;;;
30.03.2011;0328/2008-2012/GR;328;Standesinitiative: Atomkraftwerk Mühleberg - sofort und definitiv abschalten;Motion;2;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;nicht erheblich;2;;;
11.05.2011;0349/2008-2012/GR;349;Schaffung einer Ombudsstelle;Motion;2;17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege;;;Staatspolitik;Gerichtswesen;;Peter Gubser;SP;4;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;17.04.2012;27.06.2012;nicht erheblich;2;;;
11.05.2011;0353/2008-2012/GR;353;Eine Zukunft mit den Erneuerbaren;Motion;2;73.3 Andere Energien: Gas, Fernwärme, Solarenergie etc.;;;Energie;;;Bernhard Wälti;SP;4;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;Rückzug;4;;;
11.05.2011;0350/2008-2012/GR;350;Einreichung einer Standesinitiative 'DRG-Moratorium';Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Bernhard Wälti;SP;4;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;17.04.2012;09.05.2012;Rückzug;4;;;
11.05.2011;0351/2008-2012/GR;351;Konzept Biomasse Thurgau;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.01.2012;29.02.2012;erheblich;1;;;
11.05.2011;0354/2008-2012/GR;354;Massnahmen zur Senkung des Stromverbrauchs;Interpellation;4;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Regula Streckeisen;EVP;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;15.02.2012;;;;;
15.06.2011;0361/2008-2012/GR;361;Gesamtsprachenkonzept für den Thurgau;Interpellation;4;41.1 Unterstufen: Kindergarten, Volks- und Primarschule;;;Bildung;;;Hannes Bär;SP;4;Josef Brägger;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;13.03.2012;09.05.2012;;;;;
15.06.2011;0360/2008-2012/GR;360;Förderung einheimischer Werte in der Volksschule;Motion;2;41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung;;;Bildung;;;Andrea Vonlanthen;SVP;1;Martin Stuber;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;30.04.2012;13.06.2012;Rückzug;4;;;
15.06.2011;0362/2008-2012/GR;362;Biodiversität 2020;Interpellation;4;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Maya Iseli;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.12.2011;15.02.2012;;;;;
29.06.2011;0365/2008-2012/GR;365;Sicherstellung der Mundartsprache im Kindergarten;Motion;2;41.1 Unterstufen: Kindergarten, Volks- und Primarschule;;;Bildung;;;Hanspeter Gantenbein;SVP;1;Werner Indergand;SVP;1;Verena Herzog;SVP;1;;;;;;;;;;;;;;;;;;;;;;30.04.2012;27.06.2012;nicht erheblich;2;;;
